job_id,skill
1,backend API’s
1, JSON
1, React Native
1, GIS
2,Python
2, Java
2, Machine Learning
2,  C++
2, Matlab
2, R
2, Scala
3,PHP
3, Laravel
3, Wordpress
3, HTML
3, CSS
3, JavaScript
4,HTML
4, CSS
4, Javascript
5,Machine Learning
5, Python
6,JavaScript
6, Express
6, RxJS
6, Angular
6, AWS
6, Azure
6, GCP
6, CloudFoundry
6, CouchDB
6, Memcached
6, MongoDB
6, PostgreSQL
6, Nginx
6, Varnish
6, HAProxy
6, Redis
6, RabbitMQ
7,Java
7, Restful APIs
7, modern JVM
8,Java
8, Python
9,Ansible
9, Chef
9, Puppet
9, BASH
9, Python
9, Docker
9, Kubernetes
9, AWS
10,Spark
10, Scala
10, Python
10, scikit-learn
10, MLlib
10, Presto
10, Impala
10, Hive 
11,Scala
11, Java
11, Machine Learning
11,  Golang
11, Spark
11, Hadoop
11, Kafka
11, SQS
11, NoSQL
12,C++
12, Python
12, Go
12, Javascript
12, CAD
13,Ruby on Rails
13, ECMAScript 6
13, React
13, Redux
13, Redux Thunk
13, Bower
13, Babel
13, Webpack
14,AWS
14, Linux
14, Ruby on Rails
15,JIRA
15, Confluence
15, F2P
15, HTML 5
16, Java
16, Rest APIs
16, agile
17,Javascript
17, HTML5
17, CSS3 
17,JS
17, AJAX
17, JQuery
17, Bootstrap
17, D3.js
17, Jasmine
17, Selenium
18,RabbitMQ
18, ZeroMQ
18, Kafka
18, Apache Storm
19,R
19, Python
19, SQL
19, Google Cloud Platform
20,Python
20, SQL
20, BigQuery
20, ElasticSearch
20, Python Celery
20, Airflow
20, Datadog
20, R
20, Google Cloud Platform
20, Spark
20, Hadoop
21,Java
21, Python
21, Golang
21, Linux
21, TCP/IP stack
22,
23,Java
23, Scala
23, Python
23, Play
23, Go
23, Kafka
23, ActiveMQ
23, MySQL
23, Cassandra
23, Linux
23, Docker
23, Spinnaker
23, Ansible
23, Kubernetes
24,HTML
24, CSS
24, JavaScript
25,Angular.js
25, Backbone.js
25, React
25, Ionic
25, Apache Cordova 
26,HTML
26, CSS
26, JavaScript
27,Javascript
27, TypeScript
27, Angular.js
27, Backbone.js
27, React
27, Ionic
27, Apache Cordova
27, BubbleSort 
28,UX
28, interaction design
28, Wordpress
29,Elixir
29, Ruby
29, Go
29, Scala
30,JS Web Components
30, Angular
30, React.js
30, React Native
30, Ruby on Rails
30, D3
30, Highcharts
30, RESTful API
31,HTML
31, CSS
31, JavaScript
31, TypeScript
31, Angular
31, node.js
31, Express
31, PHP
31, MySQL
31, REST API
31, npm
31, Webpack
31, AWS
31, EC2
31, ECS
31, S3
31, RDS
31, CloudFormation
31, CloudWatch
31, Docker
31, Linux
31, CAD
32,Python
32, Django
32, JavaScript 
33,Javascript
33, React
33, Angular
33, CSS
33, Sass
33, ES6
33, CoffeeScript
33, HAML
33, Browserify
33, BEM
33, TDD/testing
33, Jest
33, Jasmine
33, Mocha
34,
35,Python
35, SQL
35, ETL framework
35, PostgreSQL
35, Google Analytics
35, Snowplow
35, Looker
35, Tableau
35, Sisense
36,
37,REST API
37, Java
37, Kotlin
37, Agile
37, Unix
38,RESTful API
38, OOP
38, Objective C
38, Swift
38, HTML5
38, CSS3
38, JavaScript
39,Angular2
39, Ruby on Rails
39, agile
39, Jira
39, nosql
39, MongoDB
39, Redis
39, HTML5
39, CSS3
39, JS
39, Webpack/Require.js
39, Jasmine
39, Protractor
39, Grunt.js 
39, Gulp.js 
39, Bower
39, Npm
39, Yarn
40,Redis
40, PostgreSQL
40, Python
40, Ruby
40, Docker
40, Orchestration
40, CI server
40, AWS
40, GCE
40, C#
40, Java
40, Golang
41,Ruby on Rails
41, MySQL
41, PostgreSQL
41, NoSQL
41, Redis
41, Riak
41, Cassandra
41, Elastic Search
41, AWS
41, Agile
41, React
41, Vue
41, Angular 
42,Python
42, Ruby
42, Java
42, Objective C
42, JavaScript
42, C++
42, Docker
42, Kubernetes
42, AWS
42, Azure
43,
44,Ruby on Rails
44, NoSQL
44, AWS
44, Angular2
44, Angular 4
44, HTML5
44, CSS3
44, Webpack
44, Require.js
44, JavaScript
44, AngularJS
44, Jasmine
44, Protractor
44, Grunt.js
44, Gulp.js
44, Bower
44, Npm
44, Yarn
44, Post.css
45,JavaScript
45, ReactJS
45, Node.js
45, Flux-architecture
45, Promises/Q
45, Underscore
45, HTML
45, CSS
45, Gulp
45, Grunt
45, ES6
46,Scala
46, JVM
46, AWS
47,Laravel
47, Symfony
47, MySQL
47, PostgreSQL
47, MongoDB
47, PHP
47, AWS
47, Azure
47, Vue
47, AngularJS Angular
47, React
47, Git
47, Rest
48,
49,Python
49, Machine Learning
49, scikit-learn
50,Tableau
50, QuickSight
50, GA
50, GTM
50, Snowplow
50, Python
50, R
50, Pandas
50, Scikit-learn
50, SciPy
50, Amazon Redshift
50, AWS stack
51,android
51, agile
52,
53,Ruby
53, Rails
53, Erlang
53, C
53, iOS
53, Objective-C
53, Swift
53, Android
53, Java
53, Kotlin
53, Javascript
53, Node
53, React
53, Postgres
53, Redis
53, Elasticsearch
53, RabbitMQ
53, Elm
53, Kafka and Docker
53, AWS
53, Github
53, Jenkins
53, Graylog
53, Kibana
53, Consu
54,
55,Python
55, Apache Spark
55, SQL
55, NoSQL
55, Machine Learning
55, PostgreSQL
55, MongoDB
55, Redis
55, Hadoop
55, Apache Spark
56,Scala
56, Java
56, Ruby
56, Python
56, Apache Spark
56, Cassandra
56, KAFKA
56, Airflow
56, Docker
56, Ansible
56, Jenkins
57,Perl
57, Mysql
57, OTRS
57, Linux 
58,
59,JavaScript
59, React
59, Angular
59, jQuery
59, HTML5
59, CSS3
59, Gulp
59, Webpack
59, Grunt
60,PHP7
60, Symfony3
60, MySQL
60, MongoDB
60, RabbitMQ
60, Elasticsearch
60, Redis
60, Docker
61,JavaScript
61, SQL
61, restful APIs
61, Node.js
61, grunt
61, gulp
62,Ruby-on-Rails
62, git
62, Python
62, AWS
63,JavaScript
63, MongoDB
63, React
63, Meteor
63, Express.js
63, Python
63, Go
64,Git
64, Maven
64, Spring
64, Solr
65,Java
65, REST APIs
65, UNIX/Linux
66,HTTP
66, REST
66, JSON
66, Android
66, OOP
66, MVC
66, MVP
66, MVVM
67,Google Analytics
67, Google Tag Manager
67, localytics
67, HTML
67, Javascript
67, Google Apps script
67, VWO
67, Optimizely
67, Angular
67, React
68,JavaScript
68, Node.js
68, Cucumber
68, Gherkin
68, Selenium
68, Nightwatch
68, Mocha
68, Chai
68, JUnit
68, SQL
68, Linux
68, AWS
69,agile
69, XP
69, Kanban 
70,HTML5
70, CSS
70, REST
70, Websocket
70, UI/UX
70, Elm
71,GIS
71, Java
71, Android
71, Swift
72,ElasticSearch
72, Mysql
72, Grails
72, Spring
72, Spring-Boot
72, Hibernate
72, Apache Tomcat
72, AWS
72, RestAPI
72, agile
72, Scrum
72, Kanban
73,ERP-systems
73, SAP
73, SQL
74,Scrum
74, Kanban
74, Waterfall
74, UML modeling
75,Excel
75, SQL
75, Pentaho
