skill,type
r,r
ceph,bigdata
qa,qa
engineer,mixed
backend,backend
etl,bigdata
opennebula,cloud
continuous-deployment,continuous integration
c++,c/c++
zeromq,zeromq
amazon-lambda,aws
amazon-kinesis,aws
dijkstra,bigdata
c#,c#
.net,.net
data-science,bigdata
websphere,containerization platforms
microservices,microservices
user-experience,frontend
mondrian,open source olap
routing,mixed
mesos,cloud tools
c++14,c/c++
tensorflow,bigdata
pandas,python-based
amazon-ecs,aws
columnstore,bigdata
tableau-server,data viz tools
xhtml,html
tableau,data viz tools
pentaho,data viz tools
qlikview,data viz tools
solr,cloud tools
full-text-search,mixed
high-traffic,mixed
algorithm,bigdata
performance,mixed
bigdata,bigdata
piwik,data viz tools
microstrategy,mixed
content-management-system,mixed
combinatorics,mixed
deis,mixed
terraform,terraform
mvvm,software architectural pattern
infrastructure,mixed
graphql,query language for apis
ecmascript-6,javascript tools
event-sourcing,mixed
cqrs,software architectural pattern
qt,api(s)
qml,mixed
embedded,mixed
web,mixed
oop,programming paradigm
business-intelligence,bigdata
interface,frontend
mockups,testing
relayjs,javascript tools
cc++,c/c++
continuous-delivery,continuous integration
asp.net,api(s)
tsql,sql
single-page-application,mixed
stylus,mixed
twig,php frameworks
wordpress,cqrs
mocha,mocha
gruntjs,api(s)
browserify,uiml
hibernate,hibernate
sketchapp,design related
babel,javascript tools
data-warehouse,bigdata
database,programming paradigm
plsql,sql
oracle,open source olap
netsuite,cloud
lavarel,php frameworks
solid-principles,mixed
user-interface,frontend
graphite,javascript tools
mobile,mobile
payment-gateway,mixed
payment,mixed
payment-processing,mixed
virtuozzo,virtualization technology
openvz,virtualization technology
frontend,frontend
gis,bigdata
haproxy,load balancers
scripting,mixed
foundation,mixed
github,repository management services
vmware,cloud
coffeescript,javascript tools
tomcat,cloud tools
mariadb,sql
bitcoin,blockchain
jms,api(s)
cloudfoundry,cloud
networking,mixed
distributed-system,bigdata
cucumber,testing
php frameworks,php frameworks
codeception,api(s)
web-services,mixed
search,mixed
lucene,cloud tools
express,node.js
salesforce,cloud
end-to-end-delivery,mixed
project-management,mixed
backlog,mixed
kotlin,kotlin
qunit,javascript tools
vba,microsoft tools
access,microsoft tools
apex,mixed
sinatra,ruby
software,mixed
proxy,mixed
crm,mixed
visualforce,frontend
pgtap,sql
liquibase,bigdata
realm,bigdata
3d,mixed
vr,virtual reality
augmented-reality,virtual reality
jvm,jvm
akka,mixed
junit,java frameworks
jarkata,cloud tools
mocking,testing
rubygems,ruby
dry,mixed
deployment,mixed
multithreading,mixed
matlab,bigdata
hbase,bigdata
groovy,groovy
grails,grails
mockito,java frameworks
statistics,bigdata
fraud-prevention,mixed
gwt,google packages
vaadin,java frameworks
zend-framework,php frameworks
security,mixed
infosec,mixed
mri,mixed
ror,ruby
rails,ruby
c,c/c++
assembly,mixed
debugging,mixed
hardware-programming,mixed
iaas,mixed
salt,blockchain
cisco,cloud
vpn,mixed
angular2,angular.js
lean,mixed
openstreetmap,api(s)
nagios,mixed
enterprise-architect,mixed
architecture,mixed
mapreduce,bigdata
haskell,haskell
erlang,erlang
clojure,clojure
cyber,mixed
reverse-engineering,mixed
iphone,ios
windows,mixed
watchguard,mixed
ocs,mixed
encryption,mixed
ide,mixed
jpa,mixed
native,mixed
backup,mixed
soap,mixed
testlink,mixed
appium,mobile
testng,testing
sdk,mixed
informix,mixed
cloudwatch,cloud
atlassian,atlassian
confluence,atlassian
plugins,mixed
add-on,mixed
development,mixed
programmin,mixed
calabash,ios
openstack,cloud
xcode,ios
core-bluetooth,mixed
ibeacon,mixed
c++11,c/c++
data-structures,bigdata
linear-programming,mixed
rxjs,javascript tools
gcp,cloud
couchdb,nosql
memcached,memcached
varnish,mixed
modern jvm,mixed
mllib,cloud tools
presto,sql
impala,cloud tools
sqs,aws
cad,design related
ecmascript 6,javascript tools
babel,js compiler
confluence,atlassian
f2p,mixed
ajax,ajax
bigquery,cloud tools
airflow,bigdata
datadog,cloud
play,bigdata
activemq,bigdata
spinnaker,cloud
ionic,mobile
bubblesort,mixed
ux,frontend
elixir,erlang
d3,javascript tools
highcharts,javascript tools
ecs,cloud
rds,aws
cloudformation,cloud
haml,html
bem,programming paradigm
jest,testing
etl framework,bigdata
snowplow,java frameworks
looker,bigdata
sisense,data viz tools
protractor,javascript tools
yarn,javascript tools
orchestration,mixed
gce,mixed
riak,mixed
elastic search,elastic stack
vue,javascript tools
flux-architecture,mixed
promises/q,javascript tools
underscore,mixed
quicksight,data viz tools
ga,google packages
gtm,google packages
scipy,python-based
elm,elm
graylog,mixed
kibana,elastic stack
consu,mixed
perl,perl
otrs,mixed
php7,php
symfony3,php frameworks
meteor,javascript tools
mvp,software architectural pattern
localytics,mixed
vwo,mixed
optimizely,mixed
gherkin,testing
nightwatch,javascript tools
chai,bdd/tdd
xp,api(s)
websocket,mixed
restapi,restful apis
erp-systems,erp
sap,erp
waterfall,mixed
uml modeling,mixed
excel,microsoft tools
talend,data viz tools
rxjava,java frameworks
couchbase,sql
server administration,sysadmin
php5/oop,php
magento,e-commerce platform
java8,java
scheduling,mixed
tx,mixed
ribbon),mixed
messaging jms / amqp,messaging protocol
dynamo db,aws
universal rendering,mixed
marionette,javascript tools
scss,css
route 53,mixed
elasticache,aws
nlp,bigdata
iot,mixed
blockchain,blockchain
bots,bigdata
silex,mixed
on-premise,mixed
spryker,mixed
photoshop,design related
vlan,mixed
it administration,mixed
hdfs,bigdata
flink,cloud tools
jupyter,python-based
hue,bigdata
metabase,mixed
edge,mixed
ubiquity,mixed
synology nas,mixed
iptables,mixed
cron,mixed
ssh,mixed
dns,mixed
ssl,mixed
navision,mixed
remote desktop,mixed
mssql,sql
active directory,mixed
route53,mixed
yii,mixed
fuelphp,php
zend 2,php frameworks
svn,cloud tools
memcache,memcached
bdd (behat,php frameworks
codeception),mixed
composer,mixed
packagist,mixed
cloudera,cloud
hortonworks,mixed
mapr,bigdata
amazon emr,aws
data store,bigdata
sahi,mixed
testrail,testing
cocoa touch,frontend
web services,mixed
media services,mixed
instruments,mixed
sqlite,sql
soa,mixed
minitest,mixed
sas,open source olap
scp protocol,mixed
ms project,mixed
icinga,mixed
browserstack,mixed
saucelabs,mixed
capybara,testing
postcss,javascript tools
sinon,mixed
cha,mixed
graphics programming / webgl,mixed
bdd,bdd/tdd
web driver,mixed
htc vive,mixed
torch,mixed
cran,mixed
jsx,mixed
postcss),javascript tools
gitflow,repository management services
travisci,continuous integration
swarm,mixed
consul,mixed
istqb/cat certification,mixed
eclipse,mixed
