job_id,skill
553,r
553,python
553,sql
554,python
554,sql
554,r
555,python
555,django
555,aws
555,sql
555,scrum
556,linux
556,postgresql
556,ceph
556,python
557,continuous-integration
557,qa
557,automated-tests
557,sql
557,python
558,python
558,sql
558,deep-learning
559,ruby
559,sql
559,python
560,python
560,django
560,postgresql
561,python
561,django
561,mysql
561,docker
561,git
562,django
562,reactjs
563,java
563,python
563,mysql
563,engineer
563,backend
564,java
564,scala
564,apache
565,javascript
565,python
565,reactjs
565,angularjs
565,django
566,python
566,mongodb
566,mysql
566,postgresql
566,etl
567,devops
567,python
567,bash
567,opennebula
567,continuous-deployment
568,aws
568,python
568,sql
568,etl
568,amazon-redshift
569,sysadmin
569,aws
569,linux
570,python
570,mysql
570,postgresql
570,c++
571,python
571,linux
571,scrum
571,rest
572,python
572,http
572,nosql
572,mongodb
572,zeromq
573,amazon-redshift
573,amazon-lambda
573,amazon-kinesis
573,ruby-on-rails
573,python
574,java
574,hadoop
574,python
574,hive
574,dijkstra
575,c#
575,.net
575,java
575,python
575,data-science
576,docker
576,cloud
576,jenkins
576,websphere
576,python
576,sysadmin
577,ruby-on-rails
577,python
577,ruby
578,java
578,scala
578,go
578,aws
578,microservices
579,java
579,css
579,user-experience
579,python
579,ruby
579,sysadmin
580,php
580,java
580,python
580,postgresql
580,mondrian
581,html
581,css
581,javascript
582,postgresql
582,cassandra
582,python
582,go
582,sysadmin
583,linux
583,aws
583,routing
583,mesos
583,sysadmin
584,python
584,restful-web-services
584,http
584,javascript
584,c++
584,sysadmin
585,machine-learning
585,python
585,c++14
585,tensorflow
585,pandas
586,aws
586,python
586,go
586,amazon-ecs
586,aws-lambda
587,sql
587,cassandra
587,columnstore
587,tableau-server
587,devops
587,sysadmin
588,java
588,python
588,c++
588,aws
588,azure
589,xhtml
589,css
589,less
589,sass
589,javascript
590,sql
590,tableau
590,pentaho
590,qlikview
591,java
591,solr
591,machine-learning
591,full-text-search
591,agile
592,php
592,go
592,nosql
592,docker
592,high-traffic
593,java
593,python
593,ruby
593,cloud
593,devops
593,sysadmin
594,python
594,c++
594,javascript
594,algorithm
594,performance
595,python
595,c++
595,javascript
595,algorithm
595,performance
596,python
596,aws
596,redis
596,bigdata
596,machine-learning
597,java
597,hadoop
597,apache-spark
597,apache-storm
597,hive
598,java
598,cloud
598,ruby
598,microservices
598,python
599,php
599,html5
600,ruby-on-rails
600,rest
600,sql
600,api
601,reactjs
601,javascript
601,node.js
601,aws
601,mysql
602,angularjs
602,html5
602,css
602,vue.js
602,reactjs
603,sql
603,javascript
603,google-analytics
603,piwik
603,microstrategy
604,content-management-system
604,qa
604,user-experience
604,testing
604,sysadmin
605,aws
605,nosql
605,python
605,ruby
605,api
606,c#
606,java
606,scala
606,python
606,nosql
607,combinatorics
607,java
607,algorithm
607,scala
607,agile
608,python
608,ruby
608,go
608,aws
608,devops
608,sysadmin
609,javascript
609,reactjs
609,angularjs
609,html5
609,css3
610,docker
610,kubernetes
610,apache-kafka
610,deis
611,css
611,html
611,html5
611,javascript
611,jquery
612,ansible
612,aws
612,sysadmin
612,docker
612,terraform
612,mysql
613,c++14
613,python
613,javascript
613,http
613,c++
614,asp.net-mvc
614,mvvm
614,symfony
614,ruby-on-rails
614,django
615,php
615,sql
615,javascript
615,css
615,html
616,devops
616,cloud
616,infrastructure
616,sysadmin
616,linux
616,python
617,html
617,css
617,javascript
617,php
617,jquery
618,reactjs
618,javascript
618,graphql
618,ecmascript-6
618,webpack
619,testing
619,c++
619,python
620,php
620,mysql
620,sql
620,nosql
620,git
621,java
621,c#
621,sql
621,shell
621,testing
622,symfony2
622,event-sourcing
622,apache-kafka
622,tdd
622,cqrs
623,c++
623,qt
623,linux
623,qml
623,embedded
624,aws
624,sysadmin
624,docker
624,devops
624,continuous-integration
625,testing
625,web
625,automated-tests
625,java
625,c++
626,php
626,javascript
626,microservices
627,php
627,go
627,oop
627,design-patterns
627,javascript
628,html
628,css
628,javascript
628,angular
628,scala
629,business-intelligence
629,bigdata
629,interface
629,mysql
629,rabbitmq
630,react-native
630,react-redux
630,reactjs
630,mockups
630,jquery
631,.net
631,node.js
631,c#
631,scala
631,python
632,java
632,scala
632,hadoop
632,cassandra
632,apache-kafka
633,php
633,symfony2
633,mysql
633,javascript
634,javascript
634,css
634,reactjs
634,relayjs
634,graphql
635,c#
635,.net
635,html
635,css
635,asp.net-mvc
636,java
636,web
636,cc++
637,php
637,mysql
637,mongodb
638,php
638,symfony-2.1
638,mongodb
638,javascript
638,mysql
639,javascript
639,reactjs
639,angularjs
639,ruby
640,php
640,postgresql
640,symfony2
640,laravel
640,docker
641,reactjs
641,javascript
641,redux
641,sass
641,webpack
642,docker
642,mysql
642,continuous-integration
642,continuous-delivery
642,devops
643,c#
643,asp.net
643,html5
643,javascript
643,tsql
644,javascript
644,reactjs
644,single-page-application
644,css
644,html
645,javascript
645,reactjs
645,redux
645,html5
645,css3
646,javascript
646,stylus
646,twig
646,wordpress
646,gulp
647,node.js
647,javascript
647,mocha
647,gruntjs
647,browserify
648,java
648,spring
648,microservices
648,hibernate
648,aws
649,java
649,kubernetes
650,javascript
650,reactjs
650,css
650,angular
650,jquery
651,java
651,mysql
652,php
652,mysql
652,javascript
652,html5
652,symfony
653,angularjs
653,javascript
653,node.js
653,html5
653,jquery
654,html
654,css
654,javascript
654,angularjs
654,sketchapp
655,react
655,bootstrap
655,backbone
655,babel
655,javascript
656,data-warehouse
656,database
656,plsql
656,oracle
656,sql
657,javascript
657,node.js
657,ecmascript-6
657,reactjs
657,netsuite
658,php
658,lavarel
658,mysql
658,oop
658,postgresql
659,java
659,agile
659,api
660,php
660,symfony2
660,solid-principles
660,design-patterns
660,mysql
661,docker
661,node.js
661,javascript
662,javascript
662,node.js
662,netsuite
662,ecmascript-6
662,continuous-integration
663,php
663,microservices
663,restful-architecture
663,composer-php
663,tdd
664,ruby
664,ruby-on-rails-4
664,javascript
664,node.js
665,php
665,mysql
665,git
665,laravel
665,typescript
