,ID,company_name,date,description,jobtitle,source,NewJobTitles,Intern,Junior,Intermediate,Senior,clusters
0,1,Fatmap,2017-10-02,"Role & Responsibility: 

You’ll be building the FATMAP mobile app, and help us become the tool of choice for everyone’s outdoor adventures. We’re looking for an awesome native developer who is very strong with either iOS or Android, and can also work with React Native to define a cross-platform strategy. You will lead the direction of our new mobile apps, defining the technology stack, building rich media experiences, 3D integrations and a robust cross-platform framework in React Native.
Working closely with Product and Design you’ll have the chance to create new products from scratch across a wide range of projects, and help build the foundation of how the mobile app experiences are delivered. We work flexible hours and we all do some remote work, but we believe that the best results come from working side-by-side.
Essential Skills/Experience:

Have experience working with React Native on production apps
Have experience with either Android or iOS native development (or both!)
Enjoy and understand making phenomenal user experiences
Swear by Test Driven Development practices
Have experience working with backend API’s
Possess knowledge on working with different data formats, particularly JSON
Have strong interpersonal skills and the ability to describe technical architecture to non-techies
And easily comprehend English, spoken and written

Desirable Skills/Experience:

Obtained some GIS skills along the way
Are active in the native development communities
And have a real passion for outdoor sports and adventures

Why FATMAP:


We are pioneers – in the outdoors as well as in tech and mapping. We aim to build the world’s best outdoor map. We offer to work with the latest tools on latest mapping technology.
We love our product and use it as often as possible. We want to make everyday count, spend our time wisely and get lots of fresh air and good views besides the office.
We drive for quality. Everyone on the team is an expert in his or her field. If you want to thrive in this environment, we are welcoming you.
We believe we can make the outdoors a safer place through technology so that more outdoor enthusiasts can have better and safer adventures. If you believe in this cause, join us.

Process
You’ll have an initial video call to give you the opportunity to find out more about FATMAP, and for us to find out more about you. If that goes well it will be followed up with a coding exercise that you can do in your own time followed by a technical discussion with our developers.
Website: www.fatmap.com
Apply: jobs@fatmap.com",mobile engineer,Berlin Startup Jobs,mobile engineer,False,False,False,False,24
1,2,AI Engine,2017-10-02,"AI Engine is developing innovative machine learning components to solve future problems. Founded in 2017 we are an experienced team backed with several fundings.
Located in Berlin/Mitte, we are looking for a Machine Learning Engineer who is excited about building innovative technologies and being comfortable working within a small and fast-paced environment.
You will be responsible for designing, building and maintaining large-scale machine learning algorithms. We need someone who can quickly adapt to shifting approaches, situations, and priorities. With opportunities to work in Berlin and London.
Role

Design models, prototype them, deploy to production and run A/B tests
Track various areas of Machine Learning, Deep Learning and Optimization

Requirements

Python or Java skills
Degree in Computer Science, Machine Learning or similar
Outstanding analytical and troubleshooting skills
High proficiency in English
Skills in C++, Matlab, R, OR Scala are a plus

Are you curious? Send us some lines about you via contact@AIengine.tech",machine learning,Berlin Startup Jobs,machine learning,False,False,False,False,32
2,3,November,2017-10-02,"Your mission:

Development of a scalable software platform
Responsibility for frontend and, in particular, backend development projects
Collaboration with product owners, marketing and design teams to take our homepage to the next level
Development of internal tools and applications for other departments to increase their efficiency

Your competences:

Significant, multi-year experience in object orientated programming with PHP
Specific experience in Laravel and WordPress would be a great addition
Profound knowledge in frontend technologies such as HTML, CSS and JavaScript
Good knowledge regarding web security
Proficient skills in written and spoken English, ideally basic German
Interest in the economic effects of software decisions for the company
Team player
Willingness to take responsibility

Our offer:

A challenging position with significant responsibility and tremendous opportunities for personal learning and development
Experience in one of the fastest growing companies in the funeral market
A passionate team with flat hierarchies
Regular team-events, drinks and snacks
Attractive compensation
Permanent position

Are you ready for this new challenge? Apply now if you are ready for this (including resume, CV, references, preferred start date and compensation expectations).
We are looking forward to your application!
Your November Team",senior full stack php developer (f m),Berlin Startup Jobs,senior full stack php developer ,False,False,False,True,2
4,5,CrossEngage,2017-10-02,"About CrossEngage
CrossEngage is a cloud-based marketing platform, combining a customer data platform with powerful segmentation and cross-channel campaign management capabilities. Its flexible data structure allows clients to integrate all data sources and existing tools without replacing their marketing stack. Synchronising user data creates an actionable, real-time 360° view. This single user view enables content personalization and journey optimisation across all touchpoints. These insights, as well as the user segment’s builder, empowers marketers to create real-time automation based on user behaviour, orchestrating marketing activities across all channels. CrossEngage holds the ePrivacy seal and exceeds the standards of the German data protection law. Since its launch in 2015, CrossEngage won clients such as Deutsche Bahn Vertrieb GmbH and HelloFresh among many others
What You’ll Do

Processing, cleaning and verifying the integrity of the data
Evaluate the performance of various algorithms/models/strategies based on large, complex data sets
Explore and Identify new product opportunities based on the vast amount of data
Develop your ideas from hypothesis testing to deploying in production
Take pride in your work and present your ideas internally as well as externally in various forums

What You’ll Definitely Need

University degree in Computer science or related, preferably with focus on Machine Learning / Big Data systems
2+ years of relevant work experience
Hands on experience in applying machine learning techniques
Ability to work productively with team members, identify and resolve tough issues in a collaborative and respectful manner.
Fluency in Python; experience in additional programming languages is a plus

Life As a CrossEngager is

The ability to push your ideas through to execution without being held back by bureaucracy.
The experience of the most exciting growth phase of a startup
The opportunity to develop both personally and professionally with regular training and events
Working in a team of fun and international people with inspiring personalities
Great office location next to Berlin Hauptbahnhof with top-of-the-line tech equipment, fresh fruits, delicious coffee, drinks, Beer Friday & table football",data scientist,Berlin Startup Jobs,data scientist,False,False,False,False,33
5,6,Ruum,2017-10-02,"If you’re passionate about learning new technologies and thrive in a dynamic agile environment: Ruum will be the opportunity for you to stretch your talents and be part of something big!
We are an equal opportunity employer and value diversity in our team. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.
Responsibilities

Develop full stack JavaScript web applications built on Express, RxJS + Angular hosted on AWS.
Help to implement and run our Continuous Integration / Continuous Delivery services.
Help monitor servers and tackle performance issues.
Help ensure sites and servers stay up 24/7.
Work together with product management, designers, engineers, and end-users to ensure product success.

Requirements
Minimum qualifications:

Degree in computer science or equivalent work experience.
2+ years hands-on experience developing medium-to-large, multi-tiered web applications, ideally in a startup engineering environment.
Have a real passion for results, not just clean code.
Fluent in English.

Preferred qualifications:

Intimate knowledge of cloud infrastructure technologies (Amazon AWS, Azure, GCP, CloudFoundry).
Database experience (CouchDB, Memcached, MongoDB, PostgreSQL).
Strong knowledge and hands-on experience related to high availability web architecture and technology including Nginx, Varnish, HAProxy, Redis, RabbitMQ, …
Have hands-on experience with continuous integration tools and continuous delivery pipelines, server monitoring, and alerting with tools.
Excellent organization/time management skills.

Benefits

A fun, exciting, and engaging work environment.
Active Professional Development – we firmly believe in developing our team. You will receive support in developing your skills through workshops, conferences, books or any other events that help your professional growth.
An opportunity to work on a next-generation B2B SaaS application for a well-known brand.
All benefits of working in Germany: health care, 30 days paid vacation, etc.
Free lunch.",full stack developer,Berlin Startup Jobs,full stack developer,False,False,False,False,2
6,7,Auto1.com,2017-10-02,"What you will do:

Full lifecycle engineering: Architecture, solution design, development, quality assurance, shipping, monitoring and maintenance are all done by ourselves in our service oriented platform with currently 70+ restful microservices
Use your brain (a lot): Use your experience, hands-on and can-do attitudes to solve complex problems in the fastest engineering team of 2016 in the vast startup hub of Berlin (1000+ releases last year)
Raise the bar: Our team has a combined professional experience of almost 200 years, averaging at 7.3y per person. Each developer undergoes our coding puzzles to ensure we hire greatest quality. Our culture makes every one of us better every day.
Lead the pack: Small project groups or new permanent teams get kicked off on regular basis. We always need leaders being ready to take over a business unit’s services or provide “POC and delivery” on untouched fields.

What you will learn:

AUTO1 is disrupting the automotive industry. Most of the things we do have never been done before. Every day we are scaling and tuning the core platform and create tools to launch new green field applications
Bleeding edge technology stacks and the drive to always think about the next thing to incorporate without getting bloated. We currently use spring-cloud, java8, postgres 9.4 with jsonb types, elasticsearch and a nice bunch of AWS technologies like ec2, ecs, s3, rds, sqs/sns, elasticache and some lambdas.
Dealing with tons of microservices has it’s own challenges and they require creative approaches.

What you should bring:

You are very very smart and can understand complex problems very quickly
You have 5+ years of professional experience in java programming with spring based technologies
You bring at least 1-2 years experience leading a group of developers and taking responsibility for your team and your software. The more the better!
You have deep understanding of the JVM. You are fluid in modern java and know the possibilities of the language and can apply them in every-day or heisenbug scenarios
You have a passionate opinion on how a restful APIs should ideally look like, but you’re not too dogmatic to ignore every-day needs of a business
You’ve seen enough to know that you’re not perfect, but when looking into a mirror you know you’re pretty darn good!

What you will get:

Technical excellence – You will join a high profile and fun engineering team surrounded by technology
Innovative culture – You will work on previously unsolved challenges and experiment with new technologies
Real impact – Your work will enable our business success and disrupt the car industry
Benefits package – You will take advantage of our employee pension scheme, tandem partner program, discounts on different services (gym, public transport, leisure activities…), regular team-events (international nights, bowling, karaoke…)
Smooth start in Berlin – You will receive relocation support that includes assistance with visa, apartment search, moving costs and help with German bureaucracy",senior java developer,Berlin Startup Jobs,senior java developer,False,False,False,True,6
7,8,Elinvar,2017-10-02,"Elinvar offers an integrated solution for asset managers to digitize their offer – under their brand and in their corporate design. Working at Elinvar is like the platform itself: uncomplicated and focused on excellence. As a B2B2C provider, we work with asset managers who are managing billions of customer assets. Accordingly, the demands they have on us are high, and we expect lot from ourselves too. We are a dynamic team of technology and financial experts and we need your talent to seamlessly bring this disruptive product to our users.
Already gained some first experience in the technical field? Keen to extend that knowledge in all DevOps related topics while working with senior colleagues on a highly complex product? Join us as Junior DevOps Engineer (m/f) for our office in Berlin.
Your Role & Responsibilities

Extend our monitoring and alerting with a focus on business processes
Assist the integration of 3rd parties like custodians banks
Constantly improve the security of the platform
Finetune the Continuous Integration / Continuous Delivery process
Enhance our highly accessible platform while using the latest technologies like AWS, Kubernetes, Ansible, Docker, Prometheus, Couchbase and Kafka

Our perfect match

University degree or an equivalent education
First experience with configuration management tools like Ansible, Chef or Puppet
Experience with Linux and scripting languages like BASH, Python
Knowledge of Docker, Kubernetes, AWS is a plus
Fluent in English and German
You advocate DevOps philosophy and emphasise effective communication and collaboration between engineering, product and operations
You never stop learning and are particularly passionate about technology

About us

Based in Berlin, Elinvar is the comprehensive, digital and customized solution for wealth managers
Our partners manage billions and expect excellence. We empower employees to reshape finance and look for talented and dedicated people
Our co-founders share tremendous industry expertise and together with the team are dedicated to ensure Elinvar’s long term success
We believe hard work and success deserve to be celebrated – both in and out of the office

Apply online with your one-page CV or LinkedIn profile. 
We’re looking forward to hearing from you!
Best, Anwen from the Recruiting Team",junior devops engineer (m f),Berlin Startup Jobs,junior devops engineer ,False,True,False,False,18
8,9,AI Engine,2017-10-02,"AI Engine is developing innovative machine learning components to solve future problems. Founded in 2017 we are an experienced team backed with several fundings.
Located in Berlin/Mitte, we are looking for a Java or Python Developer who is excited about building innovative technologies and being comfortable working within a small and fast-paced environment.
Together with our CTO you will be responsible for the stability and scalability of our backend. We need someone who can quickly adapt to shifting approaches, situations, and priorities. With opportunities to work in Berlin and London.

Develop innovative software tools, applications, services
Create robust high-volume production applications, as well as prototype development
Manage the entire product lifecycle – from the first lines of code to continuous maintenance in production.
Keeping up-to-date with industry issues and trends, particularly in regard to accessibility, usability, and emerging technologies
Constantly seeking to develop yourself by learning new technologies and keeping abreast of market development

Requirements

Outstanding analytical and troubleshooting skills
Pragmatic and detail oriented programmer
Proven Back-End development experience
High proficiency in English

If you are curious what we do just send us some lines about you via contact@AIengine.tech",java python developer,Berlin Startup Jobs,java python developer,False,False,False,False,6
9,10,PubNative,2017-10-02,"Your Responsibilities:

Uncover new opportunities to improve how we serve our users
Build predictive systems that take optimized decisions and learn on the fly
Assist with product direction by bringing in innovative ideas generated through data mining and data modeling
Research and develop advanced statistical and machine learning algorithms for classification, prediction, clustering and optimization within the ad tech context
Build scalable pipelines processing large amounts of data, in short periods of time
Own the complete process, data collection, processing, testing and implementation
Run A/B tests in a live system

Our Requirements:

You bring 3+ years of relevant work experience as a Data Scientist in a product environment
Experience with streaming data pipeline based on Spark (Scala or Python)
Curiosity & creativity to discover exploitable patterns in datasets and design experiments to verify hypotheses
Understanding of modern machine learning techniques: e.g. random forests, gradient boosting methods. Familiarity with common frameworks like scikit-learn, MLlib
Comfortable using version control and AWS
SQL and databases knowledge. Experience with open source data warehousing systems such as Presto, Impala, Hive
Degree in Informatics, Statistics, Computer Science or any other Data related study field Experience with Advertising Technologies

What do we offer?

Reimbursement of the public transport monthly cards (company BVG abo)
Reimbursement of your private telephone bill (20€ after tax)
A day off on your birthday
Opportunity to attend industry events & conferences
Team events
Choose your own working tool (MacBook or PC)

Interested? – Please submit your 1-Page CV online.",data scientist (m f),Berlin Startup Jobs,data scientist ,False,False,False,False,33
10,11,PubNative,2017-10-02,"Your responsibilities:

You design, build and refine our data and analytics infrastructure written in Scala
You develop and design a real-time events pipeline and work with data scientists, backend engineers and product managers to find new ways to leverage the data
You leverage Machine Learning and Big Data to improve the accuracy of our bidding and targeting algorithms
You take part in code review and architecture discussion
You work independently and in the team
You enjoy the freedom to work on cutting edge technologies and explore new ones

Our requirements:

4+ years of experience in software engineering
Knowledge in one of the following languages: Scala, Java. Experience with Golang is a plus
Experience in building low latency and high throughput applications
Hands-on experience with big data technologies, distributed systems and stream processing(e.g. Spark, Hadoop, Kafka, SQS)
Knowledge of NoSQL databases and reporting tools is a big plus
Experience with ad-tech industry is a plus
Fluency in English

What we offer:

You get valuable insights into mobile marketing/entrepreneurship and have a high impact on shaping the expansion and success of PubNative across Europe
You get a rewarding career where you continuously grow in a performance driven culture
You get an opportunity to be responsible for, and manage your own projects
You work directly with decision makers and have an impact in the organization
You are part of a fun, international team of outstanding talents
You learn and grow in an environment characterized by flat hierarchy and entrepreneurial drive
You enjoy a competitive remuneration package and much more

Interested? – Please submit your 1-Page CV online.",data engineer (m f),Berlin Startup Jobs,data engineer ,False,False,False,False,7
