,ID,Intern,Junior,Intermediate,Senior
0,1,False,False,False,False
1,2,False,False,False,False
2,3,False,False,False,True
4,5,False,False,False,False
5,6,False,False,False,False
6,7,False,False,False,True
7,8,False,True,False,False
8,9,False,False,False,False
9,10,False,False,False,False
10,11,False,False,False,False
11,12,False,False,False,True
12,13,False,False,False,True
13,14,False,False,False,False
14,15,False,False,False,False
15,16,False,False,False,False
16,17,False,False,False,False
17,18,False,False,False,True
18,19,False,False,False,False
19,20,False,False,False,False
20,21,False,False,False,True
21,22,False,False,False,False
22,23,False,False,False,True
23,24,False,False,False,False
24,25,False,True,True,False
25,26,False,False,False,False
26,27,False,True,True,False
27,28,False,False,False,False
28,29,False,False,False,False
29,30,False,False,False,False
30,31,False,False,False,False
31,32,False,False,False,False
32,33,False,False,False,False
34,35,False,False,False,True
36,37,False,False,False,True
37,38,False,False,False,True
38,39,False,False,False,True
39,40,False,False,False,False
40,41,False,False,False,False
41,42,False,False,False,True
43,44,False,False,False,True
44,45,False,False,False,False
45,46,False,False,False,False
46,47,False,False,False,False
48,49,False,False,False,True
49,50,False,False,False,True
50,51,False,False,False,False
51,52,False,False,False,True
52,53,False,False,False,False
53,54,False,False,False,False
54,55,False,False,False,False
55,56,False,False,False,False
56,57,False,False,False,False
58,59,False,False,False,True
59,60,False,False,False,True
60,61,False,False,False,False
61,62,False,False,False,False
62,63,False,False,False,True
63,64,False,False,False,False
64,65,False,False,False,False
65,66,False,False,False,False
66,67,False,False,False,False
67,68,False,False,False,False
68,69,False,False,False,False
69,70,False,False,False,True
70,71,False,False,False,False
71,72,False,False,False,True
72,73,False,False,False,False
73,74,False,False,False,False
74,75,False,False,False,True
75,76,False,False,False,True
76,77,False,False,False,True
77,78,False,False,False,True
78,79,False,True,False,False
79,80,False,False,False,True
81,82,False,False,False,False
82,83,False,False,False,False
83,84,False,False,False,True
84,85,False,False,False,True
85,86,False,False,False,False
86,87,False,False,False,False
87,88,False,True,False,False
88,89,False,False,False,False
89,90,False,False,False,True
90,91,False,False,False,True
91,92,False,False,False,False
92,93,False,False,False,True
93,94,False,False,False,False
94,95,False,False,False,False
95,96,False,False,False,True
96,97,False,False,False,False
97,98,False,False,False,False
98,99,False,False,False,False
99,100,False,False,False,False
100,101,False,False,False,False
101,102,False,False,False,False
102,103,False,False,False,False
103,104,False,False,False,False
104,105,False,False,False,False
105,106,False,False,False,True
106,107,False,False,False,False
107,108,False,False,False,False
108,109,False,False,False,False
109,110,False,False,False,False
110,111,False,False,False,True
111,112,False,False,False,False
112,113,False,False,False,False
113,114,False,False,False,True
115,116,False,False,False,False
116,117,False,False,False,True
117,118,False,False,False,False
119,120,False,False,False,True
120,121,False,False,False,False
121,122,False,False,False,True
122,123,False,False,False,False
123,124,False,False,False,True
124,125,False,False,False,False
125,126,False,False,False,True
126,127,False,False,False,True
127,128,False,False,False,False
128,129,False,False,False,True
129,130,False,False,False,False
130,131,False,False,False,True
131,132,False,False,False,True
132,133,False,False,False,True
133,134,False,False,False,True
134,135,False,False,False,True
135,136,False,False,False,False
136,137,False,False,False,False
137,138,False,False,False,False
138,139,False,False,False,False
139,140,False,False,False,True
140,141,False,False,False,False
141,142,False,True,False,False
142,143,False,False,False,False
143,144,False,False,False,True
144,145,False,False,False,True
145,146,False,False,False,True
146,147,False,False,False,True
147,148,False,False,False,False
148,149,False,False,False,False
149,150,False,False,False,False
150,151,False,True,False,False
151,152,False,False,False,False
152,153,False,False,False,False
153,154,False,False,False,False
154,155,False,False,False,False
156,157,True,False,False,False
157,158,False,False,False,False
158,159,False,False,False,False
159,160,False,False,False,False
160,161,False,False,False,False
162,163,False,True,False,False
163,164,False,False,False,True
164,165,False,False,False,False
165,166,False,False,False,True
166,167,False,False,False,True
167,168,False,False,False,True
168,169,False,False,False,False
169,170,False,False,False,True
170,171,False,False,False,True
171,172,False,False,False,False
172,173,False,False,False,False
173,174,False,False,False,False
174,175,False,False,False,False
175,176,False,False,False,True
176,177,False,False,False,False
177,178,False,False,False,False
178,179,False,False,False,False
179,180,False,False,False,False
180,181,False,False,False,True
181,182,False,False,False,False
182,183,False,False,False,True
183,184,False,False,False,False
184,185,False,False,False,True
185,186,False,False,False,False
186,187,False,False,False,False
187,188,False,False,False,True
