Jobtitle-id,Job-title,Skill
1,Mobile Engineer for Outdoor Adventure Sports,"backend API’s, JSON, React Native, GIS"
2,Machine Learning,"Python, Java, Machine Learning,  C++, Matlab, R, Scala"
3,Senior Full Stack PHP Developer (f/m),"PHP, Laravel, Wordpress, HTML, CSS, JavaScript"
4,Jr. Manager SEO UK (Onpage) (m/f),"HTML, CSS, Javascript"
5,Data Scientist,"Machine Learning, Python"
6,Full Stack Developer,"JavaScript, Express, RxJS, Angular, AWS, Azure, GCP, CloudFoundry, CouchDB, Memcached, MongoDB, PostgreSQL, Nginx, Varnish, HAProxy, Redis, RabbitMQ"
7,Senior Java Developer,"Java, Restful APIs, modern JVM"
8,Junior DevOps Engineer (m/f),"Java, Python"
9,Java or Python Developer,"Ansible, Chef, Puppet, BASH, Python, Docker, Kubernetes, AWS"
10,Data Scientist (m/f),"Spark, Scala, Python, scikit-learn, MLlib, Presto, Impala, Hive "
11,Data Engineer (m/f),"Scala, Java, Machine Learning,  Golang, Spark, Hadoop, Kafka, SQS, NoSQL"
12,Head of Software,"C++, Python, Go, Javascript, CAD"
13,Senior Ruby Backend Developer (m/f),"Ruby on Rails, ECMAScript 6, React, Redux, Redux Thunk, Bower, Babel, Webpack"
14,DevOps Engineer (m/f) in Berlin – Chef / OpsWorks,"AWS, Linux, Ruby on Rails"
15,Quality Assurance Team Member,"JIRA, Confluence, F2P, HTML 5"
16,Java Software Engineer (m/f)," Java, Rest APIs, agile"
17,Front-end Javascript Developer,"Javascript, HTML5, CSS3 ,JS, AJAX, JQuery, Bootstrap, D3.js, Jasmine, Selenium"
18,Lead Engineer / Softwareentwickler / Software Developer (m/w) für Data Processing in Vollzeit,"RabbitMQ, ZeroMQ, Kafka, Apache Storm"
19,Data Scientist (M/W) Full-Time,"R, Python, SQL, Google Cloud Platform"
20,Data Engineer (M/W) Full-Time,"Python, SQL, BigQuery, ElasticSearch, Python Celery, Airflow, Datadog, R, Google Cloud Platform, Spark, Hadoop"
21,Senior DevOps Engineer – BER (m/f) [#412],"Java, Python, Golang, Linux, TCP/IP stack"
22,Software Developer (m/w) für Senacor Digital Coders Berlin,
23,Lead Engineer Backend,"Java, Scala, Python, Play, Go, Kafka, ActiveMQ, MySQL, Cassandra, Linux, Docker, Spinnaker, Ansible, Kubernetes"
24,Frontend Developer (m/f),"HTML, CSS, JavaScript"
25,Junior / Intermediate Frontend Developer,"Angular.js, Backbone.js, React, Ionic, Apache Cordova "
26,Frontend Developer (m/f),"HTML, CSS, JavaScript"
27,Junior / Intermediate Frontend Developer,"Javascript, TypeScript, Angular.js, Backbone.js, React, Ionic, Apache Cordova, BubbleSort "
28,Open Call: Web Developer,"UX, interaction design, Wordpress"
29,Backend Developer,"Elixir, Ruby, Go, Scala"
30,"Frontend Developer (React/Redux, React Native, ES6, RxJS)","JS Web Components, Angular, React.js, React Native, Ruby on Rails, D3, Highcharts, RESTful API"
31,Web Developer / 3D Product Customization,"HTML, CSS, JavaScript, TypeScript, Angular, node.js, Express, PHP, MySQL, REST API, npm, Webpack, AWS, EC2, ECS, S3, RDS, CloudFormation, CloudWatch, Docker, Linux, CAD"
32,Python Software Engineer (m/f),"Python, Django, JavaScript "
