group,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12,item13,item14
.net,.net,,,,,,,,,,,,,
3d,3d,,,,,,,,,,,,,
access,access,,,,,,,,,,,,,
ActiveMQ,ActiveMQ,,,,,,,,,,,,,
agile,agile,,,,,,,,,,,,,
AJAX,AJAX,,,,,,,,,,,,,
akka,akka,,,,,,,,,,,,,
Amazon AWS,Amazon AWS,Amazon DynamoDB,Amazon Redshift,amazon-ecs,amazon-kinesis,amazon-lambda,amazon-web-services,AWS,aws-code-deploy,aws,aws-lambda,AWS stack,Dynamo DB,Redshift
Android,Android,,,,,,,,,,,,,
Angular,Angular,angular-fullstack,Angular 4,Angular.js,Angular2,angularjs,angular-ui-bootstrap,,,,,,,
Ansible,Ansible,ansible,,,,,,,,,,,,
apache,Apache Cordova,Apache Spark,Apache Storm,Apache Tomcat,apache-storm,apache-kafka,tomcat,kafta,svn,Airflow,,,,
apex,apex,,,,,,,,,,,,,
Api,apis,api,READY API,,,,,,,,,,,
appium,appium,,,,,,,,,,,,,
Asp.net,asp.net-mvc,asp.net,,,,,,,,,,,,
assembly,assembly,,,,,,,,,,,,,
augmented-reality,augmented-reality,augmented reality,,,,,,,,,,,,
Azure,Azure,,,,,,,,,,,,,
Babel,Babel,,,,,,,,,,,,,
Backbone.js,Backbone.js,BACKBONE,,,,,,,,,,,,
backend API’s,backend API’s,,,,,,,,,,,,,
Bash,Bash,,,,,,,,,,,,,
behat,behat,,,,,,,,,,,,,
BEM,BEM,,,,,,,,,,,,,
bigdata,bigdata,,,,,,,,,,,,,
BigQuery,BigQuery,,,,,,,,,,,,,
bitbucket,bitbucket,,,,,,,,,,,,,
Bootstrap,Bootstrap,,,,,,,,,,,,,
Bower,Bower,,,,,,,,,,,,,
Yarn,Yarn,,,,,,,,,,,,,
Browserify,Browserify,,,,,,,,,,,,,
BubbleSort,BubbleSort,,,,,,,,,,,,,
C,C,,,,,,,,,,,,,
C#,C#,,,,,,,,,,,,,
C++,C++,c++11,,,,,,,,,,,,
CAD,CAD,,,,,,,,,,,,,
Calabash,Calabash,,,,,,,,,,,,,
Cassandra,Cassandra,,,,,,,,,,,,,
Chai,Chai,,,,,,,,,,,,,
Chef,Chef,,,,,,,,,,,,,
CI server,CI server,ci-system,,,,,,,,,,,,
clojure,clojure,clojurescript,,,,,,,,,,,,
CloudFormation,CloudFormation,,,,,,,,,,,,,
CloudFoundry,CloudFoundry,,,,,,,,,,,,,
CloudWatch,CloudWatch,,,,,,,,,,,,,
Codeception,Codeception,,,,,,,,,,,,,
CoffeeScript,CoffeeScript,,,,,,,,,,,,,
columnstore,columnstore,,,,,,,,,,,,,
Confluence,Confluence,,,,,,,,,,,,,
CouchDB,CouchDB,Couchbase,,,,,,,,,,,,
cqrs,cqrs,,,,,,,,,,,,,
CSS,CSS,CSS3,,,,,,,,,,,,
Cucumber,Cucumber,,,,,,,,,,,,,
D3,D3,D3.js,,,,,,,,,,,,
data-science,data-science,,,,,,,,,,,,,
database,database,,,,,,,,,,,,,
Datadog,Datadog,,,,,,,,,,,,,
deep-learning,deep-learning,,,,,,,,,,,,,
Django,Django,,,,,,,,,,,,,
Docker,Docker,,,,,,,,,,,,,
Dry,Dry,,,,,,,,,,,,,
ECMAScript,ECMAScript 6,ecmascript-6,ecmascript-7,ECMAScript,,,,,,,,,,
ECS,ECS,,,,,,,,,,,,,
Elastic Search,Elastic Search,ElasticSearch,Elasticsearch,Elasticsearch,AWS ElasticCache,ElasticCache,AWS Kinesis,,,,,,,
Elixir,Elixir,,,,,,,,,,,,,
Elm,Elm,,,,,,,,,,,,,
Erlang,Erlang,,,,,,,,,,,,,
ERP-systems,ERP-systems,erp,,,,,,,,,,,,
ES6,ES6,,,,,,,,,,,,,
ETL framework,ETL framework,etl,,,,,,,,,,,,
Express,Express,Express.js,,,,,,,,,,,,
F2P,F2P,,,,,,,,,,,,,
Flux-architecture,Flux-architecture,,,,,,,,,,,,,
GA,GA,,,,,,,,,,,,,
GCE,GCE,,,,,,,,,,,,,
GCP,GCP,,,,,,,,,,,,,
Gherkin,Gherkin,,,,,,,,,,,,,
GIS,GIS,,,,,,,,,,,,,
Git,Git,,,,,,,,,,,,,
Github,github,,,,,,,,,,,,,
Go,Go,,,,,,,,,,,,,
gocd,gocd,,,,,,,,,,,,,
Golang,Golang,,,,,,,,,,,,,
Google,Google Analytics,Google Apps script,Google Cloud Platform,Google Tag Manager,google container engine,google-analytics,google-cloud-platform,google-container-engine,gwt,ga,gtm,,,
Grails,Grails,,,,,,,,,,,,,
graphql,graphql,,,,,,,,,,,,,
groovy,groovy,,,,,,,,,,,,,
Grunt,Grunt,Grunt.js,gruntjs,,,,,,,,,,,
GTM,GTM,,,,,,,,,,,,,
Gulp,Gulp,Gulp.js,,,,,,,,,,,,
Hadoop,Hadoop,hdfs,,,,,,,,,,,,
HAML,HAML,,,,,,,,,,,,,
haproxy,haproxy,,,,,,,,,,,,,
haskell,haskell,,,,,,,,,,,,,
hbase,hbase,,,,,,,,,,,,,
Hibernate,Hibernate,,,,,,,,,,,,,
Highcharts,Highcharts,,,,,,,,,,,,,
Hive,Hive,,,,,,,,,,,,,
HTML,HTML,HTML 5,HTML5,,,,,,,,,,,
HTTP,HTTP,,,,,,,,,,,,,
Impala,Impala,,,,,,,,,,,,,
interaction design,interaction design,,,,,,,,,,,,,
Ionic,Ionic,,,,,,,,,,,,,
iOS ,iOS,ios-frameworks,,,,,,,,,,,,
Jasmine,Jasmine,,,,,,,,,,,,,
Java,Java,java-ee,java 8,messaging jms,,,,,,,,,,
JavaScript,JavaScript,javascript,js,JS Web Components,,,,,,,,,,
