group,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12,item13,item14,item15,item16,item17,item18,item19,item20,item21,item22,item23,item24,item25,item26,item27,item28,item29,item30,item31
eCommerce,ecommerce,Auctionata,Bjooli,bonial,bonagora,byebuy,coffee circle,dawanda,discounto,erento,flaconi ,home24,Junique,KW-Commerce,Lesara,Lyke,Mirapodo,Mister Spex,Modomoto,Monoqi,outfittery,Urbanara,RunaShop,Vaola,Visual Meta,wine in black,zalando,e commerce,ecommerce,Rebuy,e-commerce
AdTech,Ad2Games,Adjust,Adsquare,Applause,AppLift,crobo,Contiama,Datapine,DeltaMethod,Fyber,glispa,GameGenetics,IconPeak,LiquidM,Mapegy,Plista,Roq.ad,Remerge,Sociomantic,Trademob,Webtrekk,YOC,ad-booking,ad booking,adtech,zeotap,adjust by adeven,,,,
FinTech,Barzahlen,BillPay,Bergfürst,Bonify,Brickgate,Cashboard,FinLeap,LIQID,Mambu,Number26,OptioPay,Orderbird,Payleven,Raisin,Savedo,Smava,solarisBank,fintech,financial industry,,,,,,,,,,,,
Retail Technology,Inventorum,Itembase,KaufDa,Käuferportal,Locafox,Minodes,Newstore,Products Up,Qipu,ecommerce,retail industry,,,,,,,,,,,,,,,,,,,,
Marketing Solutions,Basilicom,CrossEngage,Contentful,DCMN,DC Media Networks,DigitaleSeiten,Fanpage Karma,Kyto,LinkBird,Newsletter2Go,Optivo,Uberall,UberMetrics,Styla,Zanox,goedle.io,RetentionGrid,Wunderdata,,,,,,,,,,,,,
games,Aeria Games,Crowdpark,Fox & Sheep,GameDuell,Kabam,King,Softgames,TreasureHuntStudios,Wooga,gaming industry,game industry,game creation,game development,game creation,Neriad Games,,,,,,,,,,,,,,,,
app,Dushmash,EyeEm,Kitchen Stories,Memorado,MyTaxi,Onefootball,ParkTag,TvSmiles,,,,,,,,,,,,,,,,,,,,,,,
health,Clue,Mediteo,MeeDoc,Medexo,Medigo,NeuroNation,Sanubi,heath industry,Medlanes,HUMANOO,,,,,,,,,,,,,,,,,,,,,
edutech,Babbel,Blinkist,Inversity,K.Lab Edumedia,Research Gate,Skive,SofaTutor,education industry,Akdemia,Preply,UnlockYourBrain,Liberio,Skive,vismath,,,,,,,,,,,,,,,,,
food delivery,Bonativo,Deliveroo,Delivery Hero,EatFirst,Foodora,Foodpanda,HelloFresh,Marley Spoon,food industry,food delivery,WINE IN BLACK,,,,,,,,,,,,,,,,,,,,
travel,AbroadWith,GetYourGuide,GoEuro,Guestbird,HolidayPirates,SuitePad,Wimdu,Zizoo,travel industry,,,,,,,,,,,,,,,,,,,,,,
service,Auto1 Group,Blacklane,Book a Tiger,Carmudi,Helpling,Service Partner ONE,Thermondo,Vimcar,cleaning industry,car booking,Yachtico,Ondango,,,,,,,,,,,,,,,,,,,
hr,COMATCH,GoHiring,HONEYPOT,HeavenHR,Tandemploy,Viasto,human ressource industry,hr industry,human ressources industry,,,,,,,,,,,,,,,,,,,,,,
real estate,Lamudi,ImmobilienScout,McMakler,MyKeys24,Movago,real estate,,,,,,,,,,,,,,,,,,,,,,,,,
music,Ableton,Lofelt,Native Instruments,SoundCloud,music industry,GruvIt,,,,,,,,,,,,,,,,,,,,,,,,,
